"id","sourceFile","line","fileSha256","contentSha256","from","before","after","disposition","ownerId","literalDestinationBefore","literalDestinationAfter","literalSelectedCanonicalTarget","currentFinalOwner","effectiveFinalCanonicalOwner","sourceShadowedByExistingControlledPage","statusBefore","statusAfter","forceBefore","forceAfter","conditionsBefore","conditionsAfter","orderBefore","orderAfter","protectedCohort","scope","semanticInvariant","reason","requiredConditions","currentEffectiveResponse","proposedEffectiveResponse","testIds","rollback"
"REDIRECT-L0012-bfd6d6c0e6b2","_redirects","12","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","bfd6d6c0e6b238eec7ffb1c318c678f992d14f1683c8de3a93b638179c9e5333","/commercial-flooring-sydney/","/commercial-flooring-sydney/ /commercial-flooring-sydney.html 200!","/commercial-flooring-sydney/ /commercial-flooring/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-commercial","/commercial-flooring-sydney.html","/commercial-flooring/","/commercial-flooring/","https://oztimberfloor.com.au/commercial-flooring-sydney/","https://oztimberfloor.com.au/commercial-flooring/","false","200!","301!","true","true","[]","[]","12","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Commercial flooring","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/commercial-flooring-sydney/"",""query"":"""",""file"":""commercial-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/commercial-flooring-sydney/"",""noindex"":false,""trail"":[""/commercial-flooring-sydney/ /commercial-flooring-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/commercial-flooring/"",""query"":"""",""file"":""commercial-flooring.html"",""canonical"":""https://oztimberfloor.com.au/commercial-flooring/"",""noindex"":false,""trail"":[""/commercial-flooring-sydney/ /commercial-flooring/ 301!"",""/commercial-flooring/ /commercial-flooring.html 200!""]}","[""RULE-L12""]","{""restoreExactRule"":""/commercial-flooring-sydney/ /commercial-flooring-sydney.html 200!"",""anchorHash"":""8b01b3862c24bf9ed0a53c586a5bfaa91218666bd638bbcaee0528ee32c63b12"",""restoreOrder"":12}"
"REDIRECT-L0014-75e16ae81c2a","_redirects","14","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","75e16ae81c2a8fa01056be91194e7c5017869a45a5b415e197ed5c620ed39039","/engineered-timber-flooring-sydney/","/engineered-timber-flooring-sydney/ /engineered-timber-flooring-sydney.html 200!","/engineered-timber-flooring-sydney/ /engineered-timber-flooring/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-engineered","/engineered-timber-flooring-sydney.html","/engineered-timber-flooring/","/engineered-timber-flooring/","https://oztimberfloor.com.au/engineered-timber-flooring-sydney/","https://oztimberfloor.com.au/engineered-timber-flooring/","false","200!","301!","true","true","[]","[]","14","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Engineered timber","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/engineered-timber-flooring-sydney/"",""query"":"""",""file"":""engineered-timber-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/engineered-timber-flooring-sydney/"",""noindex"":false,""trail"":[""/engineered-timber-flooring-sydney/ /engineered-timber-flooring-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/engineered-timber-flooring/"",""query"":"""",""file"":""engineered-timber-flooring.html"",""canonical"":""https://oztimberfloor.com.au/engineered-timber-flooring/"",""noindex"":false,""trail"":[""/engineered-timber-flooring-sydney/ /engineered-timber-flooring/ 301!"",""/engineered-timber-flooring/ /engineered-timber-flooring.html 200!""]}","[""RULE-L14""]","{""restoreExactRule"":""/engineered-timber-flooring-sydney/ /engineered-timber-flooring-sydney.html 200!"",""anchorHash"":""ae99d450745bf650d0314d9a92ab78d7f874c6a461b28eec2985bf53fc0c8dbd"",""restoreOrder"":14}"
"REDIRECT-L0016-171ab99f30bd","_redirects","16","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","171ab99f30bdfdb53a235e5e9aaa46ad69aed2c0b3e5084bba90eb7cea78ea45","/floor-levelling-sydney/","/floor-levelling-sydney/ /floor-levelling-sydney.html 200!","/floor-levelling-sydney/ /floor-levelling/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-floor-levelling","/floor-levelling-sydney.html","/floor-levelling/","/floor-levelling/","https://oztimberfloor.com.au/floor-levelling-sydney/","https://oztimberfloor.com.au/floor-levelling/","false","200!","301!","true","true","[]","[]","16","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Floor levelling","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/floor-levelling-sydney/"",""query"":"""",""file"":""floor-levelling-sydney.html"",""canonical"":""https://oztimberfloor.com.au/floor-levelling-sydney/"",""noindex"":false,""trail"":[""/floor-levelling-sydney/ /floor-levelling-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/floor-levelling/"",""query"":"""",""file"":""floor-levelling.html"",""canonical"":""https://oztimberfloor.com.au/floor-levelling/"",""noindex"":false,""trail"":[""/floor-levelling-sydney/ /floor-levelling/ 301!"",""/floor-levelling/ /floor-levelling.html 200!""]}","[""RULE-L16""]","{""restoreExactRule"":""/floor-levelling-sydney/ /floor-levelling-sydney.html 200!"",""anchorHash"":""4763d3f309799857c7ba537f21a4e3a1c314f1f0a9238cafeddcf64cc38ac8ae"",""restoreOrder"":16}"
"REDIRECT-L0018-08c3487b744e","_redirects","18","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","08c3487b744e34d58a0c6fe22faf10e847e362dac65a3df353d128e077b5fcad","/bamboo-flooring-sydney/","/bamboo-flooring-sydney/ /hardwood-timber-flooring-sydney/ 301!","/bamboo-flooring-sydney/ /hardwood-timber-flooring-sydney/ 301!","KEEP_UNCHANGED_WITH_REASON","","/hardwood-timber-flooring-sydney/","/hardwood-timber-flooring-sydney/","","https://oztimberfloor.com.au/hardwood-timber-flooring-sydney/","https://oztimberfloor.com.au/hardwood-timber-flooring-sydney/","false","301!","301!","true","true","[]","[]","18","same original anchor; added variants precede original terminal 404","{""member"":false}","UNCHANGED_NEGATIVE_CONTROL","Unchanged existing semantic destination; no new product/retirement assertion.","Outside the nine canonical-owner transitions; retain exact rule bytes/order.","","{""status"":200,""hops"":1,""path"":""/hardwood-timber-flooring-sydney/"",""query"":"""",""file"":""hardwood-timber-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/hardwood-timber-flooring-sydney/"",""noindex"":false,""trail"":[""/bamboo-flooring-sydney/ /hardwood-timber-flooring-sydney/ 301!"",""/hardwood-timber-flooring-sydney/ /hardwood-timber-flooring-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/hardwood-timber-flooring-sydney/"",""query"":"""",""file"":""hardwood-timber-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/hardwood-timber-flooring-sydney/"",""noindex"":false,""trail"":[""/bamboo-flooring-sydney/ /hardwood-timber-flooring-sydney/ 301!"",""/hardwood-timber-flooring-sydney/ /hardwood-timber-flooring-sydney.html 200!""]}","[""RULE-L18""]","{""restoreExactRule"":""/bamboo-flooring-sydney/ /hardwood-timber-flooring-sydney/ 301!"",""anchorHash"":""08c3487b744e34d58a0c6fe22faf10e847e362dac65a3df353d128e077b5fcad"",""restoreOrder"":18}"
"REDIRECT-L0020-e25f7002befe","_redirects","20","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","e25f7002befe5a45fc309a3f387610162f3fc4d48cb6dd432b6e065e199a882e","/hybrid-flooring-sydney/","/hybrid-flooring-sydney/ /hybrid-flooring-sydney.html 200!","/hybrid-flooring-sydney/ /hybrid/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-hybrid","/hybrid-flooring-sydney.html","/hybrid/","/hybrid/","https://oztimberfloor.com.au/hybrid-flooring-sydney/","https://oztimberfloor.com.au/hybrid/","false","200!","301!","true","true","[]","[]","20","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Hybrid flooring","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/hybrid-flooring-sydney/"",""query"":"""",""file"":""hybrid-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/hybrid-flooring-sydney/"",""noindex"":false,""trail"":[""/hybrid-flooring-sydney/ /hybrid-flooring-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/hybrid/"",""query"":"""",""file"":""hybrid.html"",""canonical"":""https://oztimberfloor.com.au/hybrid/"",""noindex"":false,""trail"":[""/hybrid-flooring-sydney/ /hybrid/ 301!"",""/hybrid/ /hybrid.html 200!""]}","[""RULE-L20""]","{""restoreExactRule"":""/hybrid-flooring-sydney/ /hybrid-flooring-sydney.html 200!"",""anchorHash"":""b277b29bc4e519de565810c02149cf6097f0ed0cc328a07641e418eb4d127cd6"",""restoreOrder"":20}"
"REDIRECT-L0021-076442a2d9a6","_redirects","21","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","076442a2d9a6d5e0edd2e3d4e1c112b1d29fa7fd6d84199b4d42cda7646254a7","/laminate-flooring-sydney/","/laminate-flooring-sydney/ /laminate-flooring-sydney.html 200!","/laminate-flooring-sydney/ /laminate/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-laminate","/laminate-flooring-sydney.html","/laminate/","/laminate/","https://oztimberfloor.com.au/laminate-flooring-sydney/","https://oztimberfloor.com.au/laminate/","false","200!","301!","true","true","[]","[]","21","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Laminate flooring","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/laminate-flooring-sydney/"",""query"":"""",""file"":""laminate-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/laminate-flooring-sydney/"",""noindex"":false,""trail"":[""/laminate-flooring-sydney/ /laminate-flooring-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/laminate/"",""query"":"""",""file"":""laminate.html"",""canonical"":""https://oztimberfloor.com.au/laminate/"",""noindex"":false,""trail"":[""/laminate-flooring-sydney/ /laminate/ 301!"",""/laminate/ /laminate.html 200!""]}","[""RULE-L21""]","{""restoreExactRule"":""/laminate-flooring-sydney/ /laminate-flooring-sydney.html 200!"",""anchorHash"":""6ea4d03cbb59a9604cf2e7c4b6f7999f229cd7ca6b9852d68052173cf15ec805"",""restoreOrder"":21}"
"REDIRECT-L0022-af9bc76382c0","_redirects","22","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","af9bc76382c035f2c87d81213530aac43635187c4881ade0c3c3b9ba99d0bfbc","/office-flooring-sydney/","/office-flooring-sydney/ /office-flooring-sydney.html 200!","/office-flooring-sydney/ /office-flooring/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-office","/office-flooring-sydney.html","/office-flooring/","/office-flooring/","https://oztimberfloor.com.au/office-flooring-sydney/","https://oztimberfloor.com.au/office-flooring/","false","200!","301!","true","true","[]","[]","22","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Office flooring","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/office-flooring-sydney/"",""query"":"""",""file"":""office-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/office-flooring-sydney/"",""noindex"":false,""trail"":[""/office-flooring-sydney/ /office-flooring-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/office-flooring/"",""query"":"""",""file"":""office-flooring.html"",""canonical"":""https://oztimberfloor.com.au/office-flooring/"",""noindex"":false,""trail"":[""/office-flooring-sydney/ /office-flooring/ 301!"",""/office-flooring/ /office-flooring.html 200!""]}","[""RULE-L22""]","{""restoreExactRule"":""/office-flooring-sydney/ /office-flooring-sydney.html 200!"",""anchorHash"":""bb592ac5edb342fb87d7b74858b3235151c668e5011fc3523af44f477bf252d9"",""restoreOrder"":22}"
"REDIRECT-L0025-8d0edcf607b5","_redirects","25","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","8d0edcf607b5d15489e9258042147c53d6aaf1a55a5600e34039f36e195636ef","/solid-timber-flooring-sydney/","/solid-timber-flooring-sydney/ /solid-timber-flooring-sydney.html 200!","/solid-timber-flooring-sydney/ /solid-timber/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-solid","/solid-timber-flooring-sydney.html","/solid-timber/","/solid-timber/","https://oztimberfloor.com.au/solid-timber-flooring-sydney/","https://oztimberfloor.com.au/solid-timber/","false","200!","301!","true","true","[]","[]","25","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Solid timber","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/solid-timber-flooring-sydney/"",""query"":"""",""file"":""solid-timber-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/solid-timber-flooring-sydney/"",""noindex"":false,""trail"":[""/solid-timber-flooring-sydney/ /solid-timber-flooring-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/solid-timber/"",""query"":"""",""file"":""solid-timber.html"",""canonical"":""https://oztimberfloor.com.au/solid-timber/"",""noindex"":false,""trail"":[""/solid-timber-flooring-sydney/ /solid-timber/ 301!"",""/solid-timber/ /solid-timber.html 200!""]}","[""RULE-L25""]","{""restoreExactRule"":""/solid-timber-flooring-sydney/ /solid-timber-flooring-sydney.html 200!"",""anchorHash"":""75f29f06fdd70c5277d93dca1a5a55a66a967e30314434e2daa98693c523d1b0"",""restoreOrder"":25}"
"REDIRECT-L0028-758f1fb3bc54","_redirects","28","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","758f1fb3bc54373be8c2fce7c445867d68867a24d75c232cbcc80d8ee1a1913a","/timber-flooring-installation-sydney/","/timber-flooring-installation-sydney/ /timber-flooring-installation-sydney.html 200!","/timber-flooring-installation-sydney/ /timber-floor-installation/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-installation","/timber-flooring-installation-sydney.html","/timber-floor-installation/","/timber-floor-installation/","https://oztimberfloor.com.au/timber-flooring-installation-sydney/","https://oztimberfloor.com.au/timber-floor-installation/","false","200!","301!","true","true","[]","[]","28","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Installation","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/timber-flooring-installation-sydney/"",""query"":"""",""file"":""timber-flooring-installation-sydney.html"",""canonical"":""https://oztimberfloor.com.au/timber-flooring-installation-sydney/"",""noindex"":false,""trail"":[""/timber-flooring-installation-sydney/ /timber-flooring-installation-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/timber-floor-installation/"",""query"":"""",""file"":""timber-floor-installation.html"",""canonical"":""https://oztimberfloor.com.au/timber-floor-installation/"",""noindex"":false,""trail"":[""/timber-flooring-installation-sydney/ /timber-floor-installation/ 301!"",""/timber-floor-installation/ /timber-floor-installation.html 200!""]}","[""RULE-L28""]","{""restoreExactRule"":""/timber-flooring-installation-sydney/ /timber-flooring-installation-sydney.html 200!"",""anchorHash"":""dc829c97c3479cdfb28a6f9fb9f1692dc538c163afd01bcee4fce11d8f64c43e"",""restoreOrder"":28}"
"REDIRECT-L0030-7ff5ecef672a","_redirects","30","d40d78e4ceecc6de30302c9a30e689504da9e4bbb4caddd1c38e3f939c27ac84","7ff5ecef672aba921764a43e07081039d268d0a0cbfd41b5123a211dc5183831","/vinyl-flooring-sydney/","/vinyl-flooring-sydney/ /vinyl-flooring-sydney.html 200!","/vinyl-flooring-sydney/ /vinyl/ 301!","REPLACE_OWNER_OR_ALIAS_RULE","route-vinyl","/vinyl-flooring-sydney.html","/vinyl/","/vinyl/","https://oztimberfloor.com.au/vinyl-flooring-sydney/","https://oztimberfloor.com.au/vinyl/","false","200!","301!","true","true","[]","[]","30","same original anchor; added variants precede original terminal 404","{""member"":false}","OWNER_TRANSITION","Vinyl flooring","Replace the early forced rewrite in place so the candidate becomes a direct alias despite existing flat/directory files.","","{""status"":200,""hops"":0,""path"":""/vinyl-flooring-sydney/"",""query"":"""",""file"":""vinyl-flooring-sydney.html"",""canonical"":""https://oztimberfloor.com.au/vinyl-flooring-sydney/"",""noindex"":false,""trail"":[""/vinyl-flooring-sydney/ /vinyl-flooring-sydney.html 200!""]}","{""status"":200,""hops"":1,""path"":""/vinyl/"",""query"":"""",""file"":""vinyl.html"",""canonical"":""https://oztimberfloor.com.au/vinyl/"",""noindex"":false,""trail"":[""/vinyl-flooring-sydney/ /vinyl/ 301!"",""/vinyl/ /vinyl.html 200!""]}","[""RULE-L30""]","{""restoreExactRule"":""/vinyl-flooring-sydney/ /vinyl-flooring-sydney.html 200!"",""anchorHash"":""34501264e7edb1dc29fee59053023adf62dcad375723095ec4050cf77f3f6ceb"",""restoreOrder"":30}"
