old_url,old_path,old_type,old_topic,priority,internal_links,external_links_if_available,new_target,target_status,redirect_status,action,reason,notes
https://oztimberfloor.com.au/,/,homepage,home,P0,481,,/,exists,200 live,keep live,Root homepage remains the live canonical destination.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/169-2/,/169-2/,unknown,169-2,P4,1,,/commercial-flooring-sydney/,existing destination,301 implemented,301 redirect,Mapped to the closest live service page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney/,/3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney/,unknown,3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney,P4,,,/guides/3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney/,existing destination,301 implemented,301 redirect,Mapped to the closest live guide page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/3-services-timber-floor-installers-in-sydney-can-do-for-you/,/3-services-timber-floor-installers-in-sydney-can-do-for-you/,unknown,3-services-timber-floor-installers-in-sydney-can-do-for-you,P4,,,/guides/3-services-timber-floor-installers-in-sydney-can-do-for-you/,existing destination,301 implemented,301 redirect,Mapped to the closest live guide page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property/,/5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property/,unknown,5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property,P4,,,/guides/5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property/,existing destination,301 implemented,301 redirect,Mapped to the closest live guide page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/about-us/,/about-us/,unknown,about-us,P4,335,,/about/,existing destination,301 implemented,301 redirect,Mapped to the closest relevant live destination.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/artisan-oak/,/artisan-oak/,range,artisan-oak,P1,,,/ranges/artisan-oak/,existing destination,301 implemented,301 redirect,Mapped to the closest live range page to preserve long-tail range intent.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/aspire-hybrid/,/aspire-hybrid/,range,aspire-hybrid,P1,,,/ranges/aspire/,existing destination,301 implemented,301 redirect,Mapped to the closest live range page to preserve long-tail range intent.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/bamboo/,/bamboo/,category,bamboo,P0,341,,/bamboo-flooring-sydney/,existing destination,301 implemented,301 redirect,Mapped to the closest live category page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/blogs/,/blogs/,blog/guide,blogs,P3,338,,/guides/,existing destination,301 implemented,301 redirect,Mapped to the closest live guide page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/brands/*,/brands/*,range,*,P1,,,/ranges/,existing destination,301 implemented,301 redirect,Mapped to the closest live range page to preserve long-tail range intent.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/bt-bamboo/,/bt-bamboo/,category,bt-bamboo,P1,,,/bamboo-flooring-sydney/,existing destination,301 implemented,301 redirect,Mapped to the closest live category page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/choosing-office-flooring-durability-design-performance/,/choosing-office-flooring-durability-design-performance/,unknown,choosing-office-flooring-durability-design-performance,P4,,,/guides/choosing-office-flooring-durability-design-performance/,existing destination,301 implemented,301 redirect,Mapped to the closest live guide page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/commercial-flooring/,/commercial-flooring/,service,commercial-flooring,P0,337,,/commercial-flooring-sydney/,existing destination,301 implemented,301 redirect,Mapped to the closest live service page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/commercial-timber-flooring-high-traffic-spaces-sydney/,/commercial-timber-flooring-high-traffic-spaces-sydney/,unknown,commercial-timber-flooring-high-traffic-spaces-sydney,P4,,,/guides/commercial-timber-flooring-high-traffic-spaces-sydney/,existing destination,301 implemented,301 redirect,Mapped to the closest live guide page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/commercial-timber-flooring-specialist-sydney-builders-designers/,/commercial-timber-flooring-specialist-sydney-builders-designers/,unknown,commercial-timber-flooring-specialist-sydney-builders-designers,P4,,,/guides/commercial-timber-flooring-specialist-sydney-builders-designers/,existing destination,301 implemented,301 redirect,Mapped to the closest live guide page.,Search Console exports not present in repo; link metrics pending.
https://oztimberfloor.com.au/common-questions-we-get-as-hybrid-floor-installers-in-sydney/,/common-questions-we-get-as-hybrid-floor-installers-in-sydney/,unknown,common-questions-we-get-as-hybrid-floor-installers-in-sydney,P4,,,/guides/common-questions-we-get-as-hybrid-floor-installers-in-sydney/,existing destination,301 implemented,301 redirect,Mapped to the closest live guide page.,Search Console exports not present in repo; link metrics pending.
