old_url,old_path,classification,redirect_line,redirect_status,new_target,target_exists,action
"https://oztimberfloor.com.au/","/","exact new match","572","404","/","true","keep"
"https://oztimberfloor.com.au/169-2/","/169-2/","close topical match","36","301","/commercial-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney/","/3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney/","close topical match","90","301","/guides/3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney/","true","301 redirect"
"https://oztimberfloor.com.au/3-services-timber-floor-installers-in-sydney-can-do-for-you/","/3-services-timber-floor-installers-in-sydney-can-do-for-you/","close topical match","87","301","/guides/3-services-timber-floor-installers-in-sydney-can-do-for-you/","true","301 redirect"
"https://oztimberfloor.com.au/5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property/","/5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property/","close topical match","84","301","/guides/5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property/","true","301 redirect"
"https://oztimberfloor.com.au/about-us/","/about-us/","close topical match","31","301","/about/","true","301 redirect"
"https://oztimberfloor.com.au/artisan-oak/","/artisan-oak/","close topical match","61","301","/ranges/artisan-oak/","true","301 redirect"
"https://oztimberfloor.com.au/aspire-hybrid/","/aspire-hybrid/","close topical match","73","301","/ranges/aspire/","true","301 redirect"
"https://oztimberfloor.com.au/bamboo/","/bamboo/","close topical match","46","301","/bamboo-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/blogs/","/blogs/","close topical match","47","301","/guides","true","301 redirect"
"https://oztimberfloor.com.au/blogs/page/2/","/blogs/page/2/","intentionally consolidated","572","404","/404.html","true","retired/gone"
"https://oztimberfloor.com.au/bt-bamboo/","/bt-bamboo/","close topical match","62","301","/bamboo-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/choosing-office-flooring-durability-design-performance/","/choosing-office-flooring-durability-design-performance/","close topical match","95","301","/guides/choosing-office-flooring-durability-design-performance/","true","301 redirect"
"https://oztimberfloor.com.au/commercial-flooring/","/commercial-flooring/","close topical match","35","301","/commercial-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/commercial-timber-flooring-high-traffic-spaces-sydney/","/commercial-timber-flooring-high-traffic-spaces-sydney/","close topical match","101","301","/guides/commercial-timber-flooring-high-traffic-spaces-sydney/","true","301 redirect"
"https://oztimberfloor.com.au/commercial-timber-flooring-specialist-sydney-builders-designers/","/commercial-timber-flooring-specialist-sydney-builders-designers/","close topical match","99","301","/guides/commercial-timber-flooring-specialist-sydney-builders-designers/","true","301 redirect"
"https://oztimberfloor.com.au/common-questions-we-get-as-hybrid-floor-installers-in-sydney/","/common-questions-we-get-as-hybrid-floor-installers-in-sydney/","close topical match","88","301","/guides/common-questions-we-get-as-hybrid-floor-installers-in-sydney/","true","301 redirect"
"https://oztimberfloor.com.au/contact-us/","/contact-us/","close topical match","32","301","/contact","true","301 redirect"
"https://oztimberfloor.com.au/easiplank/","/easiplank/","close topical match","63","301","/ranges/easi-plank/","true","301 redirect"
"https://oztimberfloor.com.au/elk-falls/","/elk-falls/","close topical match","64","301","/ranges/elk-falls/","true","301 redirect"
"https://oztimberfloor.com.au/engineered-timber-flooring/","/engineered-timber-flooring/","close topical match","42","301","/engineered-timber-flooring-sydney/","true","301 redirect"
"https://oztimberfloor.com.au/faqs/","/faqs/","exact new match","15","200","/faqs/","true","keep"
"https://oztimberfloor.com.au/fiddleback/","/fiddleback/","close topical match","65","301","/ranges/fiddleback/","true","301 redirect"
"https://oztimberfloor.com.au/floor-levelling/","/floor-levelling/","close topical match","34","301","/floor-levelling-sydney","true","301 redirect"
"https://oztimberfloor.com.au/gallery/","/gallery/","close topical match","48","301","/projects/","true","301 redirect"
"https://oztimberfloor.com.au/grand-oak/","/grand-oak/","close topical match","74","301","/ranges/grand-oak/","true","301 redirect"
"https://oztimberfloor.com.au/guide-to-choosing-the-right-vinyl-timber-flooring/","/guide-to-choosing-the-right-vinyl-timber-flooring/","close topical match","100","301","/guides/guide-to-choosing-the-right-vinyl-timber-flooring/","true","301 redirect"
"https://oztimberfloor.com.au/hire-over-diy/","/hire-over-diy/","close topical match","89","301","/guides/hire-over-diy/","true","301 redirect"
"https://oztimberfloor.com.au/how-hybrid-timber-flooring-performs-in-sydney-apartments/","/how-hybrid-timber-flooring-performs-in-sydney-apartments/","close topical match","92","301","/guides/how-hybrid-timber-flooring-performs-in-sydney-apartments/","true","301 redirect"
"https://oztimberfloor.com.au/hybrid/","/hybrid/","close topical match","41","301","/hybrid-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/hydroplank-wpc/","/hydroplank-wpc/","close topical match","66","301","/ranges/hydroplank-wpc/","true","301 redirect"
"https://oztimberfloor.com.au/infinite-laminate-2/","/infinite-laminate-2/","close topical match","67","301","/ranges/infinite/","true","301 redirect"
"https://oztimberfloor.com.au/innovakitchens/","/innovakitchens/","intentionally consolidated","50","410","/404.html","true","retired/gone"
"https://oztimberfloor.com.au/kronoswiss-aquastop/","/kronoswiss-aquastop/","close topical match","75","301","/ranges/kronoswiss-aquastop/","true","301 redirect"
"https://oztimberfloor.com.au/laminate/","/laminate/","close topical match","40","301","/laminate-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/laying-the-foundations-right-why-floor-levelling-matters-for-your-timber-flooring/","/laying-the-foundations-right-why-floor-levelling-matters-for-your-timber-flooring/","close topical match","83","301","/guides/laying-the-foundations-right-why-floor-levelling-matters-for-your-timber-flooring/","true","301 redirect"
"https://oztimberfloor.com.au/local-supply-installation-and-custom-finish-options-for-commercial-timber-flooring/","/local-supply-installation-and-custom-finish-options-for-commercial-timber-flooring/","close topical match","94","301","/guides/local-supply-installation-and-custom-finish-options-for-commercial-timber-flooring/","true","301 redirect"
"https://oztimberfloor.com.au/luxury-hybrid/","/luxury-hybrid/","close topical match","76","301","/ranges/luxury-hybrid/","true","301 redirect"
"https://oztimberfloor.com.au/manufactured-wood/","/manufactured-wood/","close topical match","43","301","/engineered-timber-flooring-sydney/","true","301 redirect"
"https://oztimberfloor.com.au/oak-flooring-sydney/","/oak-flooring-sydney/","close topical match","60","301","/engineered-timber-flooring-sydney/","true","301 redirect"
"https://oztimberfloor.com.au/oakleaf-laminate/","/oakleaf-laminate/","close topical match","77","301","/ranges/oakleaf-laminate/","true","301 redirect"
"https://oztimberfloor.com.au/oakstep-laminate/","/oakstep-laminate/","close topical match","68","301","/ranges/oak-step/","true","301 redirect"
"https://oztimberfloor.com.au/office-flooring/","/office-flooring/","close topical match","37","301","/office-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/ornato-hybrid/","/ornato-hybrid/","close topical match","78","301","/ranges/ornato-hybrid/","true","301 redirect"
"https://oztimberfloor.com.au/ornato-vinyl/","/ornato-vinyl/","close topical match","69","301","/ranges/ornato-vinyl/","true","301 redirect"
"https://oztimberfloor.com.au/preference-classic/","/preference-classic/","close topical match","79","301","/ranges/classic-laminate/","true","301 redirect"
"https://oztimberfloor.com.au/prefinished-solid-timber/","/prefinished-solid-timber/","close topical match","70","301","/ranges/solid/","true","301 redirect"
"https://oztimberfloor.com.au/prestige-oak/","/prestige-oak/","close topical match","80","301","/ranges/prestige-oak/","true","301 redirect"
"https://oztimberfloor.com.au/privacy.html","/privacy.html","exact new match","573","301","/privacy.html","true","keep"
"https://oztimberfloor.com.au/product-category/bamboo/","/product-category/bamboo/","close topical match","108","301","/bamboo-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/product-category/bamboo/stonewood-bamboo/","/product-category/bamboo/stonewood-bamboo/","close topical match","138","301","/bamboo-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/product-category/bamboo/verdura-bamboo/","/product-category/bamboo/verdura-bamboo/","close topical match","144","301","/bamboo-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/","/product-category/engineered-timber/","close topical match","111","301","/engineered-timber-flooring-sydney/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/artisan-oak/","/product-category/engineered-timber/artisan-oak/","close topical match","104","301","/ranges/artisan-oak/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/grand-oak-14-5mm/","/product-category/engineered-timber/grand-oak-14-5mm/","close topical match","113","301","/ranges/grand-oak-14-5mm/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/grand-oak/","/product-category/engineered-timber/grand-oak/","close topical match","114","301","/ranges/grand-oak/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/preference-fiddleback/","/product-category/engineered-timber/preference-fiddleback/","close topical match","127","301","/ranges/fiddleback/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/preference-select-australian-timber/","/product-category/engineered-timber/preference-select-australian-timber/","close topical match","128","301","/ranges/select-australian-timber/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/prestige-oak-15mm/","/product-category/engineered-timber/prestige-oak-15mm/","close topical match","130","301","/ranges/prestige-oak/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/prestige-oak-21mm/","/product-category/engineered-timber/prestige-oak-21mm/","close topical match","131","301","/ranges/prestige-oak/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/prestige-oak/","/product-category/engineered-timber/prestige-oak/","close topical match","129","301","/ranges/prestige-oak/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/pronto-engineered-oak/","/product-category/engineered-timber/pronto-engineered-oak/","close topical match","132","301","/ranges/pronto/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/engineered-timber/swish-oak/","/product-category/engineered-timber/swish-oak/","close topical match","142","301","/ranges/swish-oak-natura/","true","301 redirect"
"https://oztimberfloor.com.au/product-category/hybrid/","/product-category/hybrid/","close topical match","115","301","/hybrid-flooring-sydney","true","301 redirect"
"https://oztimberfloor.com.au/product-category/hybrid/artisan-hybrid-tile/","/product-category/hybrid/artisan-hybrid-tile/","close topical match","103","301","/ranges/artisan-tile/","true","301 redirect"
